year,month,weather_type,value
2017,02,avg_temp,41.6
2018,02,avg_temp,42.0
2019,02,avg_temp,36.2
2020,02,avg_temp,40.1
2021,02,avg_temp,34.2
2022,02,avg_temp,37.3
2023,02,avg_temp,41.1
2000,02,max_precipitation,0.57
2001,02,max_precipitation,0.7
2002,02,max_precipitation,0.3
2003,02,max_precipitation,1.49
2004,02,max_precipitation,1.59
2005,02,max_precipitation,0.95
2006,02,max_precipitation,1.66
2007,02,max_precipitation,0.94
2008,02,max_precipitation,1.94
2009,02,max_precipitation,0.35
2010,02,max_precipitation,2
2011,02,max_precipitation,1.32
2012,02,max_precipitation,0.6
2013,02,max_precipitation,1.56
2014,02,max_precipitation,1.78
2015,02,max_precipitation,1.02
2016,02,max_precipitation,1.22
2017,02,max_precipitation,1.16
2018,02,max_precipitation,1.21
2019,02,max_precipitation,0.75
2020,02,max_precipitation,0.51
2021,02,max_precipitation,1.85
2022,02,max_precipitation,0.74
2023,02,max_precipitation,0.34
2024,02,max_precipitation,M
2000,02,max_snow_depth,3
2001,02,max_snow_depth,6
2002,02,max_snow_depth,0
2003,02,max_snow_depth,21
2004,02,max_snow_depth,7
2005,02,max_snow_depth,9
2006,02,max_snow_depth,17
2007,02,max_snow_depth,2
2008,02,max_snow_depth,5
2009,02,max_snow_depth,3
2010,02,max_snow_depth,21
2011,02,max_snow_depth,18
2012,02,max_snow_depth,T
2013,02,max_snow_depth,11
2014,02,max_snow_depth,18
2015,02,max_snow_depth,13
2016,02,max_snow_depth,2
2017,02,max_snow_depth,8
2018,02,max_snow_depth,3
2019,02,max_snow_depth,1
2020,02,max_snow_depth,0
2021,02,max_snow_depth,14
2022,02,max_snow_depth,6
2023,02,max_snow_depth,2
2024,02,max_snow_depth,M
2000,02,max_snowfall,3
2001,02,max_snowfall,5.5
2002,02,max_snowfall,T
2003,02,max_snowfall,16.3
2004,02,max_snowfall,0.7
2005,02,max_snowfall,4.8
2006,02,max_snowfall,24.1
2007,02,max_snowfall,2
2008,02,max_snowfall,6
2009,02,max_snowfall,4.3
2010,02,max_snowfall,11.5
2011,02,max_snowfall,3.2
2012,02,max_snowfall,0.2
2013,02,max_snowfall,6.3
2014,02,max_snowfall,9.5
2015,02,max_snowfall,5
2016,02,max_snowfall,2.5
2017,02,max_snowfall,9.4
2018,02,max_snowfall,4.4
2019,02,max_snowfall,1.3
2020,02,max_snowfall,T
2021,02,max_snowfall,14.8
2022,02,max_snowfall,1.6
