Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1975,37.3,35.8,40.1,47.9,65.8,70.5,75.8,74.3,64.1,59.2,52.3,35.8,54.9
1976,27.3,39.9,44.4,55,60.2,73.1,74.8,74.3,66.6,52.9,41.7,29.9,53.3
1977,22,33.4,46.7,53.7,65,70.2,79,75.7,68.2,54.9,47.3,35.6,54.3
1978,28,27.2,39,51.6,61.5,71.2,74.3,76,64.9,54.9,47.8,38.9,52.9
1979,33.5,25.5,46.9,52.6,65.3,69.2,76.9,76.8,70.5,57.3,52.5,41.1,55.7
1980,33.7,31.4,41.2,54.5,65.6,70.3,79.3,80.3,70.8,55.2,44.6,32.4,54.9
1981,26.2,39.3,42.2,56.1,64.8,73,78.5,76,67.6,54.4,47.7,36.5,55.2
1982,26.1,35.3,41.9,51.2,64.1,68.6,77.9,73.1,68.3,58.5,50.4,42.7,54.8
1983,34.5,36.4,44,52.3,60.1,73.4,79.5,77.7,71.8,57.8,48.8,35.2,56
1984,29.9,40.6,36.7,51.9,61.6,74.5,74.7,76.6,65.9,61.8,47.2,43.7,55.4
1985,28.8,36.6,45.8,55.5,65.2,68.6,76.2,75.4,70.5,59.4,50,34.2,55.5
1986,34.1,31.9,45.1,54.5,66,71.5,76,73.1,67.8,58,45.7,39,55.2
1987,32.3,33.2,45.1,53.4,63.6,72.8,77.9,74.2,67.7,53.8,47.7,39.5,55.1
1988,29.5,34.9,43.6,51.2,62.6,71.8,79.3,78.8,67.4,52.7,49.4,35.9,54.8
1989,37.4,34.5,42.4,52.2,62.1,72,74.9,74,68.1,58.1,45.7,25.9,53.9
1990,41.4,39.7,45.1,53.5,60.2,72.1,76.8,75.2,67.5,61.9,50.3,42.6,57.2
1991,34.9,39.9,44.6,55.7,68.7,74.1,77.7,77.1,67.5,58.4,48.3,39.6,57.2
1992,35.7,36.3,40,50.5,61,70.2,74.2,72.9,67.2,54.5,46.5,37.9,53.9
1993,36.3,30.8,39.6,53.3,65.6,73.3,80.1,77.2,67.3,55.9,48.8,37.3,55.5
1994,25.5,30.6,40.6,55.6,61.8,75.2,79.4,74,67.6,58,51.9,42.2,55.2
1995,37.5,31.6,45,51.9,61.9,71.8,79.1,78.5,68.3,61.6,43.6,32.4,55.3
1996,30.5,33.8,38.9,52.2,61.1,71.4,73.3,74.5,68,56.4,43,41.3,53.7
1997,32.1,40,41.9,51.7,59.4,70.9,75.7,73.3,67,56.7,44.5,38.2,54.3
1998,40,40.6,45.4,54,64.3,69.2,76.5,76.6,70.2,57.5,48.1,43.1,57.1
1999,33.9,38.8,42.5,53.5,63,73.2,81.4,75.5,69,56,50.8,39.9,56.5
2000,31.3,37.3,47.2,51,63.5,71.3,72.3,72.4,66,57,45.3,31.1,53.8
2001,33.6,35.9,39.6,53.9,63.6,72.9,73.1,78.7,67.7,58.5,52.7,44.1,56.2
2002,39.9,40.6,44.1,56.1,60.7,71.5,78.8,77.7,70.2,55.2,46,36,56.4
2003,27.5,30.1,43.1,49.8,58.7,68.4,75.8,76.7,67.9,55.1,50,37.6,53.4
2004,24.7,35,43.5,53.6,65.2,71.2,74.5,74.2,69.3,56,48.2,38.4,54.5
2005,31.3,36.5,39.5,55.1,58.9,74,77.5,79.7,73.3,57.9,49.6,35.3,55.7
2006,40.9,35.7,43.1,55.7,63.1,71,77.9,75.8,66.6,56.2,51.9,43.6,56.8
2007,37.5,28.3,42.2,50.3,65.2,71.4,75,74,70.3,63.6,45.4,37,55
2008,36.5,35.8,42.6,55,60.1,74,78.4,73.8,68.8,55.1,45.9,38.1,55.3
2009,27.9,36.7,42.4,54.5,62.5,67.5,72.7,75.7,66.3,55,51.1,35.9,54
2010,32.5,33.1,48.2,57.9,65.3,74.7,81.3,77.4,71.1,58.1,47.9,32.8,56.7
2011,29.7,36,42.3,54.3,64.5,72.3,80.2,75.3,70,57.1,51.9,43.3,56.4
2012,37.3,40.9,50.9,54.8,65.1,71,78.8,76.7,68.8,58,43.9,41.5,57.3
