year,month,location_id,direction,value_type,value,data_source
2010,11,3,O,vehicle_count,1673916,hourly_traffic
2010,11,4,I,vehicle_count,1078259,hourly_traffic
2010,11,4,O,vehicle_count,919421,hourly_traffic
2010,11,5,I,vehicle_count,297601,hourly_traffic
2010,11,5,O,vehicle_count,303307,hourly_traffic
2010,11,6,I,vehicle_count,300906,hourly_traffic
2010,11,6,O,vehicle_count,281829,hourly_traffic
2010,11,7,I,vehicle_count,1333684,hourly_traffic
2010,11,7,O,vehicle_count,1085892,hourly_traffic
2010,11,8,I,vehicle_count,749557,hourly_traffic
2010,11,8,O,vehicle_count,660822,hourly_traffic
2010,11,9,I,vehicle_count,1665879,hourly_traffic
2010,11,9,O,vehicle_count,1692352,hourly_traffic
2010,11,11,I,vehicle_count,2800069,hourly_traffic
2010,12,1,I,vehicle_count,1121822,hourly_traffic
2010,12,1,O,vehicle_count,1135769,hourly_traffic
2010,12,2,I,vehicle_count,1406680,hourly_traffic
2010,12,2,O,vehicle_count,1128875,hourly_traffic
2010,12,3,I,vehicle_count,1490005,hourly_traffic
2010,12,3,O,vehicle_count,1605261,hourly_traffic
2010,12,4,I,vehicle_count,1005709,hourly_traffic
2010,12,4,O,vehicle_count,861213,hourly_traffic
2010,12,5,I,vehicle_count,279457,hourly_traffic
2010,12,5,O,vehicle_count,286076,hourly_traffic
2010,12,6,I,vehicle_count,287291,hourly_traffic
2010,12,6,O,vehicle_count,269953,hourly_traffic
2010,12,7,I,vehicle_count,1280211,hourly_traffic
2010,12,7,O,vehicle_count,1073863,hourly_traffic
2010,12,8,I,vehicle_count,725847,hourly_traffic
2010,12,8,O,vehicle_count,636958,hourly_traffic
2010,12,9,I,vehicle_count,1552914,hourly_traffic
2010,12,9,O,vehicle_count,1592426,hourly_traffic
2010,12,11,I,vehicle_count,2713081,hourly_traffic
2011,01,1,I,vehicle_count,993039,hourly_traffic
2011,01,1,O,vehicle_count,1011450,hourly_traffic
2011,01,2,I,vehicle_count,1225474,hourly_traffic
2011,01,2,O,vehicle_count,967735,hourly_traffic
2011,01,3,I,vehicle_count,1365793,hourly_traffic
2011,01,3,O,vehicle_count,1456171,hourly_traffic
2011,01,4,I,vehicle_count,853813,hourly_traffic
2011,01,4,O,vehicle_count,706866,hourly_traffic
2011,01,5,I,vehicle_count,253651,hourly_traffic
2011,01,5,O,vehicle_count,258304,hourly_traffic
2011,01,6,I,vehicle_count,264222,hourly_traffic
2011,01,6,O,vehicle_count,248070,hourly_traffic
2011,01,7,I,vehicle_count,1136855,hourly_traffic
2011,01,7,O,vehicle_count,932283,hourly_traffic
2011,01,8,I,vehicle_count,640302,hourly_traffic
2011,01,8,O,vehicle_count,559372,hourly_traffic
2011,01,9,I,vehicle_count,1396580,hourly_traffic
2011,01,9,O,vehicle_count,1433123,hourly_traffic
2011,01,11,I,vehicle_count,2460330,hourly_traffic
2011,02,1,I,vehicle_count,973306,hourly_traffic
2011,02,1,O,vehicle_count,997769,hourly_traffic
2011,02,2,I,vehicle_count,1204889,hourly_traffic
2011,02,2,O,vehicle_count,962503,hourly_traffic
2011,02,3,I,vehicle_count,1311551,hourly_traffic
2011,02,3,O,vehicle_count,1384100,hourly_traffic
2011,02,4,I,vehicle_count,876286,hourly_traffic
2011,02,4,O,vehicle_count,736160,hourly_traffic
2011,02,5,I,vehicle_count,244056,hourly_traffic
2011,02,5,O,vehicle_count,249507,hourly_traffic
2011,02,6,I,vehicle_count,256544,hourly_traffic
2011,02,6,O,vehicle_count,241001,hourly_traffic
2011,02,7,I,vehicle_count,1132220,hourly_traffic
2011,02,7,O,vehicle_count,942509,hourly_traffic
2011,02,8,I,vehicle_count,654345,hourly_traffic
2011,02,8,O,vehicle_count,584756,hourly_traffic
2011,02,9,I,vehicle_count,1369598,hourly_traffic
2011,02,9,O,vehicle_count,1419228,hourly_traffic
2011,02,11,I,vehicle_count,2409370,hourly_traffic
2011,03,1,I,vehicle_count,1161525,hourly_traffic
2011,03,1,O,vehicle_count,1187816,hourly_traffic
2011,03,2,I,vehicle_count,1459428,hourly_traffic
2011,03,2,O,vehicle_count,1169927,hourly_traffic
2011,03,3,I,vehicle_count,1505526,hourly_traffic
2011,03,3,O,vehicle_count,1637094,hourly_traffic
2011,03,4,I,vehicle_count,1028119,hourly_traffic
2011,03,4,O,vehicle_count,874536,hourly_traffic
2011,03,5,I,vehicle_count,302827,hourly_traffic
2011,03,5,O,vehicle_count,305225,hourly_traffic
2011,03,6,I,vehicle_count,311616,hourly_traffic
2011,03,6,O,vehicle_count,290854,hourly_traffic
2011,03,7,I,vehicle_count,1367940,hourly_traffic
2011,03,7,O,vehicle_count,1138836,hourly_traffic
2011,03,8,I,vehicle_count,774705,hourly_traffic
2011,03,8,O,vehicle_count,671909,hourly_traffic
2011,03,9,I,vehicle_count,1656034,hourly_traffic
2011,03,9,O,vehicle_count,1673166,hourly_traffic
2011,03,11,I,vehicle_count,2820987,hourly_traffic
2011,04,1,I,vehicle_count,1153348,hourly_traffic
2011,04,1,O,vehicle_count,1173216,hourly_traffic
2011,04,2,I,vehicle_count,1428245,hourly_traffic
2011,04,2,O,vehicle_count,1160558,hourly_traffic
2011,04,3,I,vehicle_count,1495804,hourly_traffic
2011,04,3,O,vehicle_count,1638612,hourly_traffic
2011,04,4,I,vehicle_count,1034515,hourly_traffic
2011,04,4,O,vehicle_count,874303,hourly_traffic
2011,04,5,I,vehicle_count,281968,hourly_traffic
2011,04,5,O,vehicle_count,282157,hourly_traffic
2011,04,6,I,vehicle_count,294790,hourly_traffic
2011,04,6,O,vehicle_count,275591,hourly_traffic
2011,04,7,I,vehicle_count,1316162,hourly_traffic
2011,04,7,O,vehicle_count,1091693,hourly_traffic
2011,04,8,I,vehicle_count,730722,hourly_traffic
2011,04,8,O,vehicle_count,653815,hourly_traffic
2011,04,9,I,vehicle_count,1682588,hourly_traffic
2011,04,9,O,vehicle_count,1692311,hourly_traffic
2011,04,11,I,vehicle_count,2781243,hourly_traffic
2011,05,1,I,vehicle_count,1201993,hourly_traffic
2011,05,1,O,vehicle_count,1232853,hourly_traffic
2011,05,2,I,vehicle_count,1545661,hourly_traffic
2011,05,2,O,vehicle_count,1267745,hourly_traffic
2011,05,3,I,vehicle_count,1566744,hourly_traffic
2011,05,3,O,vehicle_count,1713742,hourly_traffic
2011,05,4,I,vehicle_count,1054521,hourly_traffic
2011,05,4,O,vehicle_count,894643,hourly_traffic
2011,05,5,I,vehicle_count,338388,hourly_traffic
2011,05,5,O,vehicle_count,335671,hourly_traffic
2011,05,6,I,vehicle_count,331467,hourly_traffic
2011,05,6,O,vehicle_count,310850,hourly_traffic
2011,05,7,I,vehicle_count,1398741,hourly_traffic
2011,05,7,O,vehicle_count,1152429,hourly_traffic
2011,05,8,I,vehicle_count,781154,hourly_traffic
2011,05,8,O,vehicle_count,712364,hourly_traffic
2011,05,9,I,vehicle_count,1799312,hourly_traffic
2011,05,9,O,vehicle_count,1832512,hourly_traffic
2011,05,11,I,vehicle_count,2911735,hourly_traffic
2011,06,1,I,vehicle_count,1201861,hourly_traffic
2011,06,1,O,vehicle_count,1228580,hourly_traffic
2011,06,2,I,vehicle_count,1555412,hourly_traffic
2011,06,2,O,vehicle_count,1267349,hourly_traffic
2011,06,3,I,vehicle_count,1585854,hourly_traffic
2011,06,3,O,vehicle_count,1734973,hourly_traffic
2011,06,4,I,vehicle_count,1077341,hourly_traffic
