"month","borough","day_type","trip_type","route_id","period","actual_number_of_buses","scheduled_number_of_buses","service_delivered"
"2020-01","Staten Island","2","LCL/LTD","S40","Peak","117","133","0.879699248"
"2020-01","Staten Island","1","LCL/LTD","S42","Peak","351","372","0.943548387"
"2020-01","Staten Island","1","LCL/LTD","S44","Peak","420","442","0.950226244"
"2020-01","Staten Island","2","LCL/LTD","S44","Peak","143","152","0.940789474"
"2020-01","Staten Island","1","LCL/LTD","S46","Peak","587","589","0.996604414"
"2020-01","Staten Island","2","LCL/LTD","S46","Peak","164","165","0.993939394"
"2020-01","Staten Island","1","LCL/LTD","S48","Peak","482","502","0.960159363"
"2020-01","Staten Island","2","LCL/LTD","S48","Peak","149","164","0.908536585"
"2020-01","Staten Island","1","LCL/LTD","S51","Peak","528","548","0.96350365"
"2020-01","Staten Island","2","LCL/LTD","S51","Peak","90","90","1"
"2020-01","Staten Island","1","LCL/LTD","S52","Peak","462","479","0.964509395"
"2020-01","Staten Island","2","LCL/LTD","S52","Peak","97","106","0.91509434"
"2020-01","Staten Island","1","LCL/LTD","S53","Peak","884","905","0.97679558"
"2020-01","Staten Island","2","LCL/LTD","S53","Peak","247","256","0.96484375"
"2020-01","Staten Island","1","LCL/LTD","S54","Peak","361","369","0.978319783"
"2020-01","Staten Island","1","LCL/LTD","S55","Peak","211","220","0.959090909"
"2020-01","Staten Island","1","LCL/LTD","S56","Peak","205","220","0.931818182"
"2020-01","Staten Island","1","LCL/LTD","S57","Peak","333","347","0.959654179"
"2020-01","Staten Island","2","LCL/LTD","S57","Peak","92","90","1.022222222"
"2020-01","Staten Island","1","LCL/LTD","S59","Peak","432","456","0.947368421"
"2020-01","Staten Island","2","LCL/LTD","S59","Peak","128","133","0.962406015"
"2020-01","Staten Island","1","LCL/LTD","S61","Peak","415","418","0.992822967"
"2020-01","Staten Island","2","LCL/LTD","S61","Peak","123","121","1.016528926"
"2020-01","Staten Island","1","LCL/LTD","S62","Peak","426","419","1.016706444"
"2020-01","Staten Island","2","LCL/LTD","S62","Peak","106","106","1"
"2020-01","Staten Island","1","LCL/LTD","S66","Peak","405","416","0.973557692"
"2020-01","Staten Island","1","LCL/LTD","S74","Peak","553","564","0.980496454"
"2020-01","Staten Island","2","LCL/LTD","S74","Peak","147","150","0.98"
"2020-01","Staten Island","1","LCL/LTD","S76","Peak","609","628","0.969745223"
"2020-01","Staten Island","2","LCL/LTD","S76","Peak","91","90","1.011111111"
"2020-01","Staten Island","1","LCL/LTD","S78","Peak","574","586","0.979522184"
"2020-01","Staten Island","2","LCL/LTD","S78","Peak","118","122","0.967213115"
"2020-01","Staten Island","1","LCL/LTD","S81","Peak","167","168","0.994047619"
"2020-01","Staten Island","1","LCL/LTD","S84","Peak","124","126","0.984126984"
"2020-01","Staten Island","1","LCL/LTD","S86","Peak","106","105","1.00952381"
"2020-01","Staten Island","1","LCL/LTD","S89","Peak","371","374","0.99197861"
"2020-01","Staten Island","1","LCL/LTD","S90","Peak","446","418","1.066985646"
"2020-01","Staten Island","1","LCL/LTD","S91","Peak","453","462","0.980519481"
"2020-01","Staten Island","1","LCL/LTD","S92","Peak","397","399","0.994987469"
"2020-01","Staten Island","1","LCL/LTD","S93","Peak","559","556","1.005395683"
"2020-01","Staten Island","1","LCL/LTD","S94","Peak","362","378","0.957671958"
"2020-01","Staten Island","1","LCL/LTD","S96","Peak","459","462","0.993506494"
"2020-01","Staten Island","1","LCL/LTD","S98","Peak","616","630","0.977777778"
"2020-01","Staten Island","1","SBS","SBS79","Peak","1053","1043","1.009587728"
"2020-01","Staten Island","2","SBS","SBS79","Peak","254","270","0.940740741"
"2020-01","Staten Island","1","EXP","SIM1","Peak","1048","1050","0.998095238"
"2020-01","Staten Island","1","EXP","SIM10","Peak","850","860","0.988372093"
"2020-01","Staten Island","1","EXP","SIM11","Peak","566","568","0.996478873"
"2020-01","Staten Island","1","EXP","SIM15","Peak","514","519","0.990366089"
"2020-01","Staten Island","1","EXP","SIM1C","Peak","241","238","1.012605042"
"2020-01","Staten Island","2","EXP","SIM1C","Peak","140","137","1.02189781"
"2020-01","Staten Island","1","EXP","SIM2","Peak","570","561","1.016042781"
"2020-01","Staten Island","1","EXP","SIM22","Peak","390","407","0.958230958"
"2020-01","Staten Island","1","EXP","SIM25","Peak","498","516","0.965116279"
"2020-01","Staten Island","1","EXP","SIM26","Peak","467","493","0.947261663"
"2020-01","Staten Island","1","EXP","SIM3","Peak","481","477","1.008385744"
"2020-01","Staten Island","1","EXP","SIM30","Peak","496","503","0.986083499"
"2020-01","Staten Island","1","EXP","SIM31","Peak","435","431","1.009280742"
"2020-01","Staten Island","1","EXP","SIM32","Peak","458","475","0.964210526"
"2020-01","Staten Island","1","EXP","SIM33","Peak","450","456","0.986842105"
"2020-01","Staten Island","2","EXP","SIM33","Peak","63","103","0.611650485"
"2020-01","Staten Island","1","EXP","SIM34","Peak","592","580","1.020689655"
"2020-01","Staten Island","1","EXP","SIM35","Peak","405","413","0.98062954"
"2020-01","Staten Island","1","EXP","SIM3C","Peak","133","132","1.007575758"
"2020-01","Staten Island","2","EXP","SIM3C","Peak","42","39","1.076923077"
"2020-01","Staten Island","1","EXP","SIM4","Peak","884","898","0.9844098"
"2020-01","Staten Island","1","EXP","SIM4C","Peak","158","155","1.019354839"
"2020-01","Staten Island","2","EXP","SIM4C","Peak","101","101","1"
"2020-01","Staten Island","1","EXP","SIM4X","Peak","293","294","0.996598639"
"2020-01","Staten Island","1","EXP","SIM5","Peak","560","562","0.996441281"
"2020-01","Staten Island","1","EXP","SIM6","Peak","845","857","0.985997666"
"2020-01","Staten Island","1","EXP","SIM7","Peak","493","477","1.033542977"
"2020-01","Staten Island","1","EXP","SIM8","Peak","691","711","0.971870605"
"2020-01","Staten Island","1","EXP","SIM8X","Peak","273","273","1"
"2020-01","Staten Island","1","EXP","SIM9","Peak","410","414","0.990338164"
"2020-01","Systemwide","1","Systemwide","Systemwide","Systemwide","229912","234467","0.980572959"
"2020-01","Systemwide","2","Systemwide","Systemwide","Systemwide","42713","43414","0.983853135"
"2020-02","Bronx","1","LCL/LTD","BX1","Peak","803","855","0.939181287"
"2020-02","Bronx","2","LCL/LTD","BX1","Peak","193","200","0.965"
"2020-02","Bronx","1","LCL/LTD","BX10","Peak","773","798","0.968671679"
"2020-02","Bronx","2","LCL/LTD","BX10","Peak","203","204","0.995098039"
"2020-02","Bronx","1","LCL/LTD","BX11","Peak","1013","1026","0.987329435"
"2020-02","Bronx","2","LCL/LTD","BX11","Peak","275","272","1.011029412"
"2020-02","Bronx","1","LCL/LTD","BX12","Peak","615","627","0.980861244"
"2020-02","Bronx","2","LCL/LTD","BX12","Peak","239","242","0.987603306"
"2020-02","Bronx","1","LCL/LTD","BX13","Peak","1283","1311","0.978642258"
"2020-02","Bronx","2","LCL/LTD","BX13","Peak","323","324","0.99691358"
"2020-02","Bronx","1","LCL/LTD","BX15","Peak","1374","1482","0.927125506"
"2020-02","Bronx","2","LCL/LTD","BX15","Peak","362","368","0.983695652"
"2020-02","Bronx","1","LCL/LTD","BX16","Peak","697","722","0.965373961"
"2020-02","Bronx","2","LCL/LTD","BX16","Peak","149","148","1.006756757"
"2020-02","Bronx","1","LCL/LTD","BX17","Peak","738","779","0.947368421"
"2020-02","Bronx","2","LCL/LTD","BX17","Peak","224","222","1.009009009"
"2020-02","Bronx","1","LCL/LTD","BX18","Peak","362","380","0.952631579"
"2020-02","Bronx","2","LCL/LTD","BX18","Peak","84","92","0.913043478"
"2020-02","Bronx","1","LCL/LTD","BX19","Peak","798","836","0.954545455"
"2020-02","Bronx","2","LCL/LTD","BX19","Peak","313","312","1.003205128"
"2020-02","Bronx","1","LCL/LTD","BX2","Peak","729","722","1.009695291"
"2020-02","Bronx","2","LCL/LTD","BX2","Peak","206","200","1.03"
"2020-02","Bronx","1","LCL/LTD","BX20","Peak","338","323","1.046439628"
"2020-02","Bronx","1","LCL/LTD","BX21","Peak","790","817","0.966952264"
"2020-02","Bronx","2","LCL/LTD","BX21","Peak","212","216","0.981481481"
"2020-02","Bronx","1","LCL/LTD","BX22","Peak","775","798","0.971177945"
"2020-02","Bronx","2","LCL/LTD","BX22","Peak","234","234","1"
"2020-02","Bronx","1","LCL/LTD","BX23","Peak","836","836","1"
"2020-02","Bronx","2","LCL/LTD","BX23","Peak","100","100","1"
"2020-02","Bronx","1","LCL/LTD","BX24","Peak","189","190","0.994736842"
"2020-02","Bronx","2","LCL/LTD","BX24","Peak","100","100","1"
"2020-02","Bronx","1","LCL/LTD","BX26","Peak","683","703","0.971550498"
"2020-02","Bronx","2","LCL/LTD","BX26","Peak","189","188","1.005319149"
"2020-02","Bronx","1","LCL/LTD","BX27","Peak","994","1026","0.968810916"
"2020-02","Bronx","2","LCL/LTD","BX27","Peak","213","214","0.995327103"
"2020-02","Bronx","1","LCL/LTD","BX28","Peak","484","513","0.943469786"
"2020-02","Bronx","2","LCL/LTD","BX28","Peak","155","158","0.981012658"
"2020-02","Bronx","1","LCL/LTD","BX29","Peak","375","380","0.986842105"
"2020-02","Bronx","2","LCL/LTD","BX29","Peak","130","132","0.984848485"
"2020-02","Bronx","1","LCL/LTD","BX3","Peak","867","874","0.991990847"
"2020-02","Bronx","2","LCL/LTD","BX3","Peak","352","362","0.972375691"
"2020-02","Bronx","1","LCL/LTD","BX30","Peak","728","760","0.957894737"
"2020-02","Bronx","2","LCL/LTD","BX30","Peak","188","186","1.010752688"
