Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1953,0.16,0.08,0.28,0.17,0.14,0.06,0.12,0.07,0.04,0.14,0.07,0.14,0.12
1954,0.05,0.06,0.1,0.09,0.1,0.04,0.03,0.2,0.16,0.06,0.16,0.1,0.1
1955,0.02,0.11,0.12,0.07,0.09,0.08,0.02,0.35,0.09,0.22,0.14,0.01,0.11
1956,0.05,0.14,0.16,0.09,0.07,0.1,0.1,0.08,0.08,0.12,0.09,0.11,0.1
1957,0.05,0.09,0.06,0.15,0.12,0.06,0.05,0.09,0.1,0.11,0.15,0.17,0.1
1958,0.12,0.11,0.1,0.2,0.1,0.09,0.12,0.08,0.15,0.18,0.06,0.04,0.11
1959,0.08,0.06,0.12,0.06,0.04,0.14,0.14,0.14,0.04,0.16,0.14,0.15,0.11
1960,0.08,0.15,0.1,0.1,0.1,0.06,0.27,0.2,0.18,0.09,0.1,0.1,0.13
1961,0.06,0.14,0.14,0.17,0.12,0.1,0.16,0.1,0.06,0.07,0.09,0.1,0.11
1962,0.08,0.13,0.1,0.1,0.04,0.12,0.05,0.18,0.1,0.1,0.13,0.07,0.1
1963,0.06,0.09,0.12,0.04,0.07,0.09,0.07,0.1,0.13,0,0.27,0.07,0.09
1964,0.15,0.1,0.08,0.17,0.02,0.09,0.13,0.01,0.06,0.06,0.09,0.13,0.09
1965,0.1,0.13,0.08,0.1,0.05,0.04,0.04,0.09,0.06,0.07,0.05,0.06,0.07
1966,0.08,0.18,0.03,0.09,0.14,0.04,0.04,0.06,0.29,0.15,0.12,0.1,0.11
1967,0.04,0.1,0.19,0.12,0.13,0.15,0.23,0.19,0.06,0.11,0.09,0.2,0.13
1968,0.07,0.04,0.15,0.09,0.23,0.21,0.08,0.09,0.07,0.07,0.19,0.13,0.12
1969,0.04,0.11,0.12,0.13,0.09,0.11,0.24,0.08,0.28,0.06,0.12,0.23,0.13
1970,0.02,0.16,0.13,0.12,0.11,0.08,0.07,0.08,0.06,0.08,0.17,0.09,0.1
1971,0.09,0.19,0.12,0.1,0.14,0.08,0.23,0.3,0.25,0.13,0.19,0.06,0.16
1972,0.08,0.2,0.15,0.13,0.27,0.31,0.15,0.06,0.04,0.2,0.41,0.2,0.18
1973,0.15,0.16,0.12,0.27,0.15,0.15,0.19,0.1,0.09,0.13,0.06,0.32,0.16
1974,0.12,0.05,0.19,0.13,0.14,0.11,0.04,0.19,0.27,0.08,0.03,0.2,0.13
1975,0.15,0.12,0.11,0.1,0.11,0.25,0.38,0.1,0.31,0.12,0.14,0.12,0.17
1976,0.19,0.11,0.1,0.09,0.15,0.09,0.05,0.21,0.11,0.17,0.01,0.07,0.11
1977,0.07,0.09,0.24,0.13,0.06,0.13,0.05,0.15,0.16,0.16,0.41,0.16,0.15
1978,0.27,0.06,0.09,0.08,0.3,0.06,0.14,0.18,0.14,0.05,0.1,0.18,0.14
1979,0.34,0.16,0.14,0.13,0.2,0.05,0.06,0.14,0.16,0.12,0.11,0.09,0.14
1980,0.06,0.04,0.34,0.28,0.08,0.13,0.17,0.04,0.07,0.12,0.14,0.02,0.12
1981,0.02,0.22,0.04,0.11,0.11,0.09,0.2,0.02,0.12,0.11,0.06,0.17,0.11
1982,0.21,0.08,0.08,0.19,0.08,0.17,0.1,0.15,0.06,0.07,0.11,0.05,0.11
1983,0.16,0.12,0.34,0.47,0.15,0.09,0.11,0.23,0.15,0.28,0.22,0.32,0.22
1984,0.06,0.17,0.2,0.22,0.31,0.19,0.23,0.04,0.08,0.12,0.14,0.11,0.16
1985,0.03,0.09,0.06,0.05,0.18,0.15,0.14,0.08,0.16,0.04,0.27,0.03,0.11
1986,0.14,0.1,0.05,0.13,0.05,0.06,0.18,0.14,0.07,0.06,0.23,0.2,0.12
1987,0.19,0.04,0.16,0.2,0.05,0.13,0.13,0.16,0.18,0.13,0.1,0.07,0.13
1988,0.12,0.13,0.07,0.07,0.17,0.04,0.26,0.07,0.08,0.11,0.3,0.04,0.12
1989,0.07,0.11,0.16,0.14,0.33,0.29,0.17,0.27,0.23,0.24,0.09,0.03,0.18
1990,0.17,0.08,0.12,0.17,0.29,0.08,0.11,0.4,0.07,0.21,0.09,0.18,0.16
1991,0.11,0.07,0.17,0.12,0.1,0.14,0.15,0.23,0.12,0.07,0.07,0.14,0.12
1992,0.05,0.06,0.13,0.06,0.13,0.16,0.14,0.11,0.16,0.04,0.19,0.18,0.12
1993,0.11,0.1,0.21,0.14,0.05,0.05,0.05,0.17,0.18,0.15,0.07,0.16,0.12
1994,0.18,0.12,0.2,0.08,0.14,0.11,0.12,0.2,0.11,0.04,0.14,0.09,0.13
1995,0.12,0.11,0.04,0.08,0.09,0.07,0.2,0.01,0.1,0.25,0.19,0.07,0.11
1996,0.18,0.09,0.12,0.21,0.09,0.19,0.19,0.06,0.17,0.24,0.1,0.21,0.15
1997,0.12,0.09,0.17,0.1,0.1,0.06,0.27,0.1,0.07,0.07,0.16,0.14,0.12
1998,0.17,0.21,0.16,0.24,0.22,0.2,0.04,0.09,0.11,0.09,0.05,0.04,0.14
1999,0.23,0.12,0.13,0.06,0.13,0.02,0.01,0.09,0.29,0.09,0.08,0.1,0.11
2000,0.1,0.06,0.11,0.12,0.15,0.16,0.23,0.12,0.19,0.02,0.12,0.1,0.12
2001,0.1,0.07,0.24,0.05,0.07,0.18,0.07,0.08,0.18,0.02,0.05,0.07,0.1
2002,0.06,0.03,0.11,0.11,0.12,0.15,0.03,0.16,0.17,0.23,0.17,0.13,0.12
2003,0.07,0.16,0.15,0.11,0.11,0.34,0.12,0.19,0.2,0.16,0.14,0.17,0.16
2004,0.07,0.09,0.1,0.14,0.19,0.1,0.25,0.1,0.38,0.04,0.14,0.12,0.14
2005,0.15,0.11,0.16,0.16,0.05,0.11,0.11,0.13,0.02,0.54,0.15,0.15,0.15
2006,0.16,0.1,0.03,0.19,0.15,0.28,0.2,0.2,0.12,0.23,0.24,0.07,0.16
2007,0.12,0.07,0.17,0.44,0.06,0.22,0.22,0.23,0.06,0.15,0.12,0.17,0.17
2008,0.09,0.21,0.13,0.09,0.13,0.16,0.09,0.18,0.24,0.12,0.12,0.21,0.15
2009,0.1,0.03,0.06,0.16,0.17,0.34,0.23,0.14,0.08,0.18,0.05,0.23,0.15
2010,0.07,0.24,0.34,0.1,0.1,0.07,0.08,0.13,0.12,0.16,0.07,0.14,0.14
2011,0.16,0.12,0.2,0.18,0.16,0.11,0.1,0.61,0.31,0.2,0.1,0.13,0.2
2012,0.1,0.05,0.03,0.12,0.17,0.1,0.14,0.09,0.15,0.09,0.06,0.15,0.1
2013,0.09,0.15,0.09,0.04,0.26,0.34,0.09,0.09,0.1,0.01,0.11,0.16,0.13
2014,0.09,0.2,0.12,0.26,0.14,0.14,0.18,0.07,0.04,0.19,0.15,0.19,0.15
2015,0.17,0.07,0.15,0.07,0.06,0.16,0.13,0.08,0.11,0.13,0.07,0.15,0.11
2016,0.14,0.15,0.04,0.05,0.12,0.09,0.23,0.06,0.09,0.13,0.18,0.09,0.11
2017,0.16,0.09,0.17,0.13,0.21,0.16,0.14,0.11,0.07,0.13,0.05,0.07,0.12
2018,0.07,0.21,0.17,0.19,0.11,0.1,0.24,0.28,0.21,0.12,0.25,0.21,0.18
2019,0.12,0.11,0.12,0.15,0.22,0.18,0.19,0.12,0.03,0.2,0.07,0.23,0.14
2020,0.06,0.09,0.12,0.15,0.05,0.06,0.21,0.16,0.13,0.16,0.13,0.15,0.12
2021,0.07,0.18,0.11,0.09,0.14,0.09,0.36,0.33,0.33,0.17,0.04,0.04,0.16
2022,0.14,0.12,0.08,0.15,0.15,0.1,0.15,0.06,0.14,0.16,0.11,0.19,0.13
2023,0.14,0.05,0.11,0.26,0.04,0.05,0.17,0.21,0.48,0.13,0.1,0.22,0.16
2024,0.17,M,M,M,M,M,M,M,M,M,M,M,0.17
