boro,street,yr,m,sum_vol,count_requestid
Brooklyn,NEW UTRECHT AVENUE,2017,10,44169,768
Manhattan,DYCKMAN STREET,2017,11,70603,960
Manhattan,W 168 ST,2012,4,34531,1684
Bronx,RANDALL AVENUE,2018,6,39956,960
Staten Island,OCEAN TERRACE,2012,1,38983,1147
Brooklyn,WAVERLY AVENUE,2015,9,2173,192
Queens,BQE WB EXIT 37,2012,6,170471,1911
Queens,LINDEN BOULEVARD,2019,5,386820,2592
Brooklyn,EAST DRIVE,2017,5,29136,2530
Manhattan,N/B MADISON AVE (N LEG) @ E 135 ST,2009,10,221978,1202
Brooklyn,9 STREET,2016,9,46081,1740
Manhattan,S/B 2 AVE(3 LANES W SIDE) @ E 60 ST,2009,10,247350,1157
Brooklyn,HANOVER PLACE,2016,9,8331,480
Queens,JACKSON AV,2013,9,128970,1494
Brooklyn,S ELLIOTT PL,2012,11,11349,1485
Bronx,EAST 212 STREET,2016,4,2134,383
Queens,RIKERS ISLAND BRIDGE,2017,5,183004,2783
Queens,W/B 57 AVE @ QUEENS BLVD,2010,5,27008,317
Manhattan,S/B BROADWAY @ W 60 ST,2009,10,88206,289
Manhattan,AMSTERDAM BTWN W 96TH & W 95TH STS,2011,4,41976,149
Queens,DITMARS BLVD,2013,1,26329,745
Queens,107 AVENUE,2016,9,16049,1627
Queens,COOPER AVENUE,2017,5,76409,1345
Queens,57 AVENUE,2018,4,18615,378
Manhattan,CHERRY STREET,2015,10,11589,864
Manhattan,S/B NORTH END AVE @ MURRAY ST,2010,9,10780,396
Brooklyn,64 STREET,2016,4,363,42
Queens,E/B 109 AVE @ 115 ST,2009,11,28543,853
Manhattan,EAST HOUSTON STREET,2015,6,762636,4032
Queens,BEP EB EXIT 25 A,2012,6,844982,1712
Queens,LINDEN BOULEVARD,2016,6,69760,768
Queens,SANFORD AVENUE,2017,9,76094,1536
Queens,54 ROAD,2019,11,4703,1344
Brooklyn,AVENUE D,2017,11,86837,1728
Queens,S/B TROTTING CO LAN PK LOT@METROPOLTN AV,2010,3,1987,89
Brooklyn,BATH AV,2013,10,193863,8723
Brooklyn,HAVEMEYER STREET,2016,11,108998,1344
Brooklyn,NORTH 4 STREET,2015,11,6455,386
Brooklyn,S/B WYTHE AVE @ N 8 ST,2010,5,25794,483
Bronx,LYDIG AVENUE,2014,11,8986,192
Brooklyn,65 ST,2012,9,58823,410
Brooklyn,E/B ATLANTIC AVE @ ESSEX ST,2010,6,67458,570
Queens,UTOPIA PARKWAY,2019,2,121078,1920
Bronx,BOSTON ROAD,2017,5,425539,3360
Bronx,E/B E TREMONT AVE @ BRONXDALE AVE,2010,12,78084,859
Brooklyn,AVENUE N,2017,1,98961,2112
Bronx,FT INDEPENDENCE STREET,2016,10,264201,5376
Bronx,RIVERDALE AVENUE,2014,9,115401,1728
Brooklyn,E/B PARK PLACE @ SARATOGA AVE,2009,9,8649,428
Manhattan,AVENUE OF THE AMERICAS,2015,11,581491,1536
Queens,63rd RD APPROACH TO 110th ST,2011,10,20529,763
Brooklyn,EAST 88 STREET,2018,12,3189,379
Staten Island,WILCOX ST,2013,5,6077,288
Queens,NORTHERN BLVD,2014,2,2699483,34641
Brooklyn,AVE P APPROACHING W 6TH ST,2009,10,68254,1210
Brooklyn,AVENUE H,2016,1,1586,384
Brooklyn,VANDERVOORT AVENUE,2015,4,54619,672
Brooklyn,BELT PARKWAY,2014,10,483538,1728
Manhattan,S/B MADISON AVE (MAIN RD) @ E 135 ST,2009,10,22646,1202
Manhattan,BATTERY PLACE,2018,10,14085,288
Queens,LINDEN BOULEVARD,2017,12,29208,702
Brooklyn,FLATBUSH AVENUE,2017,8,972913,8337
Brooklyn,S/B LEONARD ST @ NASSAU AVE,2010,8,2383,317
Staten Island,DEPPE PL,2013,4,15144,282
Bronx,LONGFELLOW AVE&JENNINGS S NB AP BT FREEMAN&JENNINGS,2011,5,15797,875
Brooklyn,CONCORD STREET,2017,6,29996,672
Bronx,S/B DEKALB AVE @ E GUN HILL RD,2009,10,9627,967
Bronx,MACOMBS BRIDGE APPROACH,2015,11,13082,192
Staten Island,STEUBEN STREET,2019,9,87336,864
Manhattan,AVENUE C,2019,6,222254,5376
Brooklyn,RALPH AVENUE,2017,9,169624,1536
Queens,85 STREET,2016,4,8212,402
Brooklyn,DEKALB AVENUE,2020,9,28243,768
Bronx,E/B EAST 174 STREET BRIDGE @ BOONE AVE,2008,4,102615,383
Bronx,S/B WAYNE AVE @ EAST GUN HILL RD,2009,5,2622,766
Manhattan,MADISON AVENUE BRIDGE,2020,10,524592,2496
Queens,47 AVENUE,2015,6,73594,2688
Staten Island,MARTLING AVENUE,2016,10,93996,1728
Manhattan,WEST 14 STREET,2016,6,268184,2688
Brooklyn,DAHILL ROAD,2017,1,23634,763
Manhattan,BROADWAY,2018,11,543857,6098
Staten Island,RICHMOND AV,2011,10,390788,2309
Queens,BORDEN AV BR,2012,3,5578,118
Staten Island,QUINTARD ST,2012,12,26561,762
Bronx,BAINBRIDGE AVENUE,2019,11,86505,5184
Manhattan,FT GEORGE HILL,2014,5,45330,480
Brooklyn,LAFAYETTE AVENUE,2018,11,71198,1056
Queens,GRAND STREET BRIDGE,2019,4,63733,1152
Brooklyn,DRIGGS AVENUE,2015,10,55529,864
Manhattan,5 AV,2014,9,17710,192
Brooklyn,GOWANUS EXPRESSWAY,2014,10,836799,1728
Brooklyn,EAST 4 STREET,2016,11,13423,667
Bronx,E TREMONT AV,2013,2,107234,1352
Manhattan,AMSTERDAM AVENUE,2014,7,369817,1440
Brooklyn,AVENUE P,2017,4,5443,223
Manhattan,S/B ALLEN ST @ GRAND ST,2010,3,119621,955
Bronx,CO OP CITY BLVD APPROACH TO BARTOW AVE,2011,11,48487,726
Brooklyn,Fort Hamilton Pkwy SB,2011,6,461966,4026
Manhattan,E/B 23RD ST @ MADISON AVE,2009,2,14185,120
Queens,PRINCE STREET,2017,6,59431,1344
Manhattan,SPRING STREET,2019,10,53117,864
Brooklyn,DRIGGS AVENUE,2016,7,1028,33
Brooklyn,SEAVIEW AVENUE,2018,11,25833,1344
Queens,111 STREET,2015,9,1969985,37145
Manhattan,WEST 40 STREET,2017,11,5489,672
Brooklyn,HART STREET,2016,10,2445,192
Brooklyn,PROSPECT AVENUE,2014,11,137812,768
Brooklyn,UNION ST BR,2012,5,1374,44
Brooklyn,AVENUE T,2016,7,24620,770
Brooklyn,E/B DITMAS AVE @ MARLBOROGH RD,2009,9,21654,388
Bronx,WHITE PLAINS ROAD,2013,6,84949,1431
Brooklyn,HUMBOLDT STREET,2016,4,480843,5376
Queens,E/B GRAND AVE @ 74 ST,2010,1,70047,1059
Staten Island,DRUMGOOLE ROAD EAST,2016,6,857926,9408
Manhattan,WEST 135TH ST EB APPROACH TO BROADWAY,2009,11,24356,758
Queens,39 AVENUE,2016,8,6194,787
Staten Island,VICTORY BLVD LT,2011,10,117905,1142
Queens,E/B GRAND AVE @ 69 ST,2010,1,55674,1049
Manhattan,BROADWAY,2014,12,54333,2188
Brooklyn,MARION STREET,2016,6,2581,219
Queens,W/B 34 AVE @ STEINWAY ST,2009,6,40705,1096
Staten Island,RICHMOND AVENUE,2015,11,218629,1344
Queens,W/B HILLSIDE AVE @ 268 ST (CITY LINE),2010,3,203844,1632
Queens,UNION TP,2014,5,294733,2855
Brooklyn,4 AVENUE,2014,11,958460,6144
Bronx,STILLWELL AVENUE,2015,10,12020,384
Brooklyn,TEN EYCK STREET,2016,10,7932,1536
Bronx,BRUCKNER BOULEVARD,2015,10,310454,1344
Queens,X BAY BR EXIT RP,2012,6,26995,827
Brooklyn,RAMP,2013,2,109331,629
Queens,QUEENS BLVD,2016,5,129333,672
Queens,S/B BOWNE ST @ 45 AVE,2009,12,10150,419
Staten Island,W/B HYLAND BLVD@ BEACH AVE,2009,5,38853,165
Staten Island,MAJOR AVE BTWN DUER AVE & LILY POND AVE,2011,9,10426,1586
