boro,street,yr,m,sum_vol,count_requestid
Queens,FRESH POND ROAD,2015,3,282717,3072
Queens,MERRICK BOULEVARD,2015,10,1452225,11539
Queens,HILLSIDE AVE APPROACHING 188TH ST,2012,2,129460,1058
Staten Island,N/B ROSE AVE @ 10 ST,2010,7,3914,771
Manhattan,EAST 49 STREET,2017,11,11219,96
Brooklyn,63 STREET,2016,9,7023,376
Queens,PULASKI BRIDGE,2015,4,271149,1390
Staten Island,RAYMOND AVENUE,2015,7,548,380
Queens,111 AVENUE,2017,1,26355,1180
Queens,147 ST,2011,6,10203,2134
Bronx,COLGATE AVENUE,2019,11,18156,2688
Brooklyn,17 AVENUE,2018,3,22550,960
Bronx,S/B WEBSTER AVENUE @ E 236 ST - E 238 ST,2008,4,55108,226
Manhattan,BLEECKER STREET,2015,6,62681,672
Brooklyn,ATLANTIC AVENUE,2019,11,632823,3085
Manhattan,HHP NB EXIT 11,2014,6,64592,759
Manhattan,EAST 36 STREET,2017,4,1720,96
Queens,65 PLACE,2015,10,9960,256
Bronx,TINTON AVENUE,2016,1,11064,468
Brooklyn,MAIN ST,2011,7,8942,534
Brooklyn,NEVINS STREET,2016,9,95171,2002
Queens,SEAGIRT BOULEVARD,2016,4,293300,2807
Staten Island,HUGUENOT AVENUE,2012,1,53009,824
Bronx,VAN CORTLANDT PARK E,2012,5,130350,2578
Queens,NORTHERN BLVD,2014,5,510197,2862
Brooklyn,JJ BYRNE MEMORIAL BRIDGE,2015,3,28905,281
Queens,BRADDOCK AVENUE,2014,9,42158,768
Brooklyn,BOND ST,2011,8,5686,316
Bronx,MELVILLE STREET,2016,3,3153,376
Manhattan,PARK AV,2011,8,1193367,9967
Manhattan,RIVERSIDE DR SR APPROACH TO W 95TH ST,2011,4,3453,363
Brooklyn,AV W,2013,3,18611,761
Brooklyn,S 8 ST,2013,2,10684,826
Queens,LITTLE NECK BRIDGE,2018,6,425485,2674
Brooklyn,BROWN STREET,2016,7,7567,1344
Queens,BELL BLVD,2014,4,25210,498
Manhattan,BROAD STREET,2017,4,3321,192
Manhattan,5 AV,2013,8,170303,1113
Brooklyn,ROCKAWAY PARKWAY,2014,12,155741,1658
Manhattan,S/B 5 AVE @ E 60 ST,2010,10,287936,1056
Bronx,PELHAM PARKWAY NORTH,2014,9,21237,384
Brooklyn,E 55 ST,2014,4,4302,382
Brooklyn,SANDS STREET,2018,6,67377,1344
Manhattan,EAST 138 STREET,2013,5,586,50
Queens,60 STREET,2016,7,611,78
Queens,CROSS BAY BRIDGE EXIT RAMP,2018,4,72876,1774
Queens,23 AVENUE,2015,1,24278,768
Queens,87 AV,2014,6,22777,1585
Manhattan,BROADWAY,2017,8,9868,576
Brooklyn,S 5 PL,2014,9,57535,715
Manhattan,W/B E 60TH ST @ 5TH AVE,2009,2,83359,799
Queens,CYPRESS AVENUE,2012,2,67752,1805
Brooklyn,BLAKE AV,2014,6,34202,672
Queens,GRAND CENTRAL PKWY,2014,10,1695650,2304
Manhattan,MADISON AVENUE,2016,11,364937,1777
Queens,W/B BROADWAY @ 59 ST,2010,1,46524,755
Queens,CROSS ISLE PKWY SR S,2014,11,5819,192
Bronx,CALHOUN AVENUE,2019,11,11685,1728
Manhattan,MADISON AV,2013,5,660244,2854
Bronx,ALLERTON AVE @ E GUN HILL ROAD,2009,12,71730,1347
Bronx,LACONIA AVENUE,2012,2,66558,2808
Queens,N/B 138 ST @ 31 RD,2009,4,9111,570
Manhattan,W/B E 135 ST @ 5 AVE,2009,9,61578,446
Brooklyn,WEST 6th ST S.OF KINGS HIGHWAY,2009,10,141346,2878
Brooklyn,BAY 34 STREET,2017,6,9078,764
Brooklyn,COLUMBIA ST,2012,10,99465,2098
Manhattan,145 STREET BRIDGE,2017,9,113907,692
Brooklyn,WEST DR BET ENTRANCE TO THE PARK & 3RD ST,2010,5,31931,1083
Bronx,E MT EDEN AVE APPROACH TO SHERIDAN AVE,2011,6,13164,238
Bronx,INTERVALE AV,2013,5,27828,910
Brooklyn,BROOKLYN QUEENS EP ET 28 B EB,2016,9,184794,677
Brooklyn,HAMILTON AVENUE BRIDGE,2015,9,463163,1826
Brooklyn,EASTERN PKWY,2016,5,227119,1344
Brooklyn,AVENUE L,2015,6,52914,1555
Queens,HILLSIDE AV,2013,10,609130,3820
Queens,W/B 84 DRIVE @ 143 ST,2010,12,9673,385
Brooklyn,NEWEL STREET,2015,12,9308,862
Brooklyn,BROADWAY,2015,4,39336,503
Queens,CORONA AVENUE,2012,1,25808,392
Manhattan,86 ST TRANSVERSE,2014,11,224385,1748
Queens,HUNTERS POINT BRIDGE,2017,4,60795,1987
Queens,E/B 62 DR @ 97 ST,2010,1,41693,1054
Brooklyn,PROSPECT PARK WEST,2014,10,92081,672
Queens,N/B 146 ST @ 20 AVE,2009,10,2367,375
Manhattan,E/B MADISON AVE BR@MAJOR DEEGAN EXPWY,2009,9,300978,1196
Brooklyn,BELT PARKWAY EXIT 6 NORTH WB,2016,10,56303,853
Bronx,E GUN HILL RD,2013,3,879209,4980
Brooklyn,ROCKAWAY AVENUE,2014,10,62620,1344
Manhattan,FDR DR NB EN E HOUSTON ST,2014,6,11821,66
Bronx,ST MARYS STREET,2017,9,3164,768
Staten Island,MANOR ROAD,2019,1,135976,2688
Manhattan,LAFAYETTE STREET,2016,10,109278,1440
Brooklyn,ATKINS AVENUE,2018,11,16644,672
Bronx,BROADWAY,2019,4,101293,1152
Manhattan,WILLIAMSBURG BRIDGE,2017,10,2126235,7653
Queens,WYCKOFF AVENUE,2015,10,32876,768
Queens,UTOPIA PARKWAY,2018,6,48494,1344
Brooklyn,FLUSHING AVE @ VANDERBILT AVE,2009,9,27843,665
Brooklyn,BAY PKWY,2013,10,151147,2268
Brooklyn,WEST 6th ST N.OF 86th ST,2009,10,72678,2870
Manhattan,FULTON STREET,2018,11,25259,384
Brooklyn,FOUNTAIN AVENUE,2017,10,48485,768
Brooklyn,LINCOLN PLACE,2017,6,18487,672
Manhattan,10 AVENUE,2019,11,214176,672
Brooklyn,DIVISION AVENUE,2017,10,19439,768
Staten Island,RICHMOND ROAD,2014,10,481487,4189
Manhattan,MORNINGSIDE DRIVE,2014,9,19245,1728
Bronx,NB BAYCHESTER AVE RIGHT TURN TO BAY PLAZA MALL,2011,12,8884,1308
Bronx,N/B HUTCHINSON RIVER PKWY @ CITY LINE,2010,5,512679,1075
Brooklyn,EAST 54 STREET,2015,3,5835,672
Brooklyn,CORNELIA STREET,2019,4,2032,96
Brooklyn,UTICA AVENUE,2016,6,2576914,30909
Manhattan,ALLEN STREET,2017,10,319615,2688
Queens,MAIN STREET,2016,3,175452,1344
Queens,JAMAICA AVENUE,2019,3,94151,1344
Brooklyn,HANCOCK STREET,2015,8,52473,2016
Bronx,CEDAR AVENUE,2018,4,56580,1728
Bronx,WESTCHESTER AVENUE,2016,2,73014,1344
Queens,69 STREET,2019,10,316697,3456
Queens,W/B 31 AVE @ 86 ST,2010,6,13775,382
Brooklyn,W/B DEKALB AVE @ S PORTLAND AVE,2010,4,34581,381
Queens,130 STREET,2018,7,1880,48
Brooklyn,N/B KENT AVE @ NORTH 14TH ST,2009,6,1382,38
Brooklyn,BAY PKWY APPROACH TO 72ND ST,2010,11,46608,413
Bronx,EAST 138 STREET,2019,1,229179,2112
Bronx,CASTLE HILL AVE BET CHATTERTON &BRUCKNER BLVD,2011,3,113628,965
Queens,S/B 164 ST @ 59 AVE,2010,12,14042,219
Bronx,BIRCHALL AVENUE,2016,5,10620,1344
Brooklyn,VANDERVOORT AVENUE,2016,4,174972,2688
Manhattan,N/B BROADWAY BRIDGE,2009,10,182577,1040
Brooklyn,49 ST,2014,11,27842,864
Brooklyn,N/B TROY AVE @ LINCOLN PLACE,2009,11,35871,517
Bronx,BURKE AVENUE,2017,10,4962,192
Bronx,EAST 240 STREET,2017,11,42998,672
Queens,KISSENA BLVD,2014,7,8125,245
Manhattan,S/B BROADWAY @ BEAVER ST,2010,10,26995,665
Brooklyn,64 STREET,2016,3,6466,339
Manhattan,W/B MACOMBS DAM BR @ W 155 ST,2009,9,121110,816
Manhattan,QUEENSBORO BR,2014,7,233981,547
Bronx,N/B INDEPENDENCE AVE @ W 235 ST,2009,11,17303,820
Bronx,BARTOW AVENUE,2015,3,25035,354
Queens,ROOSEVELT AVENUE,2014,7,112967,1087
Staten Island,AMBOY RD,2011,7,61917,1422
Brooklyn,HIMROD STREET,2015,10,20650,672
Bronx,ALLERTON AVE EB APPROACH TO BARKER AVE,2009,3,35800,404
Brooklyn,6 AVENUE,2014,9,55238,768
Brooklyn,Livonia Av,2013,2,19830,708
Queens,MIDLAND PARKWAY,2014,9,35189,768
Manhattan,PARK AVENUE,2018,10,946645,9237
Manhattan,N/B PARK AVE @ E 61 ST,2009,10,203086,1143
Brooklyn,SMITH STREET,2018,11,83472,1150
Queens,RIKERS ISLAND BRIDGE,2016,5,13597,299
Brooklyn,BEDFORD AVENUE,2016,7,185205,4416
Manhattan,BROADWAY,2017,10,1218100,9958
Staten Island,W/B MOSELY AVE @ ARDEN AVE,2010,9,4940,374
Manhattan,CPW 72 APPROACH,2015,7,1680,299
Bronx,N/B WAYNE AVE @ E GUNHILL RD,2009,10,8719,776
Manhattan,6 AVENUE LINE,2019,11,210983,672
Brooklyn,CLERMONT AVENUE,2016,6,94774,4032
Bronx,EXTERIOR STREET,2014,9,410694,1579
Brooklyn,UNION ST APPROACHING 4TH AVE,2010,6,91258,2098
Manhattan,2 AVENUE,2019,3,1808503,9216
Manhattan,E/B E 14 ST @ 2ND AVE,2010,12,67436,889
Bronx,HUNTS PT AVE APPROACH TO BRUCKNER BLVD SB,2011,3,28980,238
Brooklyn,PENNSYLVANIA AV,2012,10,46526,257
Brooklyn,DUMONT AVENUE,2014,8,18331,1279
Brooklyn,BEDFORD AVENUE,2016,4,294554,2592
Manhattan,CLINTON STREET,2015,5,24505,384
Brooklyn,N/B MANHATTAN AVE @ DRIGGS AVE,2010,8,3572,229
Manhattan,W 52 ST,2012,10,60318,714
Bronx,E 173 ST,2013,1,23760,2768
Queens,SEAGIRT BOULEVARD,2017,5,301176,2479
Bronx,VIELE AVENUE,2017,4,41327,1344
Brooklyn,N/B LEGION ST @ EAST NEW YORK AVE,2011,2,28894,1141
Brooklyn,E/B LINCOLN PLACE @ SCHENECTADY AVE,2009,3,9759,797
Manhattan,GREENE STREET,2015,4,32866,672
Queens,ROCKAWAY BOULEVARD,2019,3,60129,576
Queens,SANFORD AVENUE,2020,9,130171,2016
Staten Island,HYLAN BLVD NB BET ZWICKY AVE & MIDLAND AVE,2011,5,165824,742
Brooklyn,KINGS HWY SR NB APPROACH TO LINDEN BLVD,2011,5,35409,684
Brooklyn,E 53 ST,2014,4,7378,494
Queens,MADISON STREET,2019,2,13501,672
Queens,ROOSEVELT AV BR,2014,5,36889,464
Brooklyn,COLONIAL RD,2013,4,5631,152
Staten Island,ISLINGTON ST,2013,10,1422,1386
Bronx,TAN PLACE,2015,3,37362,1361
Brooklyn,GLENWOOD ROAD,2014,11,103255,1728
Brooklyn,E/B 9 STREET BRIDGE @ SMITH ST - 2 AVE,2008,4,49338,277
Brooklyn,N/B E 15 ST @ AVE S,2009,12,7634,764
Manhattan,MACOMBS DAM BRDG PEDESTRIAN PATH,2017,12,6665,77
Brooklyn,BAY 29 STREET,2015,11,832,55
Manhattan,YORK AVENUE,2019,11,26980,632
Brooklyn,LINCOLN PLACE,2014,10,12040,681
Bronx,EAST BURNSIDE AVENUE,2017,11,130753,3456
Manhattan,WEST HOUSTON STREET,2017,5,146450,672
Queens,NORTHERN BOULEVARD,2020,10,599584,3456
Staten Island,GRAHAM AVENUE,2015,7,3517,379
Brooklyn,DORCHESTER RD,2013,6,23518,375
Queens,COOPER AVENUE,2016,3,113256,2592
Brooklyn,CHESTER AVENUE,2017,3,12008,960
Manhattan,WEST DR ENTRANCE FROM W 72 ST,2009,10,2790,391
Manhattan,WASHINGTON STREET,2017,5,56667,672
Manhattan,3 AVENUE,2015,4,2200091,8185
Brooklyn,RALPH AVENUE,2014,10,274458,3072
Queens,221 STREET,2016,8,28124,790
Queens,WYCKOFF AV,2013,9,59923,1804
Queens,N/B PULASKI BR @ JACKSON AVE / 49 AVE,2010,4,269442,1572
Queens,MYRTLE AV,2012,10,279195,5311
Queens,UTOPIA PARKWAY,2019,1,188833,2784
Brooklyn,7TH AVE DEPARTING 78TH ST,2009,12,18068,605
Staten Island,MERRYMOUNT ST,2013,3,19650,758
Staten Island,N/B RICHMOND AVE (N LEG) @ MOSELY AVE,2010,6,34810,380
Bronx,E 233RD ST BET AMUNDSON & DURYEA AVES,2010,11,39465,552
Queens,ST NICHOLAS AVENUE,2015,10,13821,384
Bronx,NEREID AVENUE,2012,2,126398,2289
Brooklyn,E/B FLATLANDS AVE @ ELTONS ST,2010,6,25313,572
Staten Island,BAY STREET,2019,1,147704,1724
Queens,W/B NORTHERN BLVD @ HONEYWELL ST,2011,2,58115,329
Queens,E/B UNION TURNPIKE @ LANGDALE ST -,2008,3,92627,1324
Brooklyn,NORTH 5 STREET,2017,10,48131,1344
Manhattan,8 AV,2014,4,514289,1536
Manhattan,ED KOCH QUEENSBORO BRIDGE EXIT,2018,11,899,30
Queens,36 AVENUE,2018,2,170803,5376
Brooklyn,RYDER STREET,2018,7,1952,155
Bronx,EAST 174 STREET,2015,11,116043,3072
Staten Island,WINCHESTER AVENUE,2017,1,329,295
Brooklyn,EAST 35 STREET,2017,11,4152,396
Brooklyn,BLAKE AV,2014,5,48718,1912
Manhattan,N/B MADISON AVE @ E 24TH ST,2009,1,44484,546
Queens,107 STREET,2015,6,3817,672
Queens,N/B 150 ST @ 75 AVE,2009,3,20675,763
Bronx,WILLIS AVENUE,2015,5,304956,5424
Bronx,BRUSH AVENUE,2013,10,36021,692
Bronx,RIVERDALE AVENUE,2017,10,100078,2112
Brooklyn,LINCOLN PLACE,2017,4,2947,388
Bronx,E GUN HILL RD,2012,10,637734,2809
Manhattan,EAST 138 STREET,2013,4,11915,807
Bronx,MOSHOLU PARKWAY,2018,1,287565,2688
Brooklyn,AVENUE F,2017,3,21968,755
Brooklyn,ROCKAWAY PARKWAY,2014,2,135436,1486
Bronx,EAST 161 STREET,2017,11,130096,1444
Manhattan,2 AVENUE,2018,10,1305407,5746
Queens,W/B N CONDUIT AVE @ BROOKVILLE BLVD,2010,11,3652,371
Bronx,WHITE PLAINS ROAD,2012,2,154765,1913
Brooklyn,JJ BYRNE MEMORIAL BRG,2012,4,305767,3166
Manhattan,MANHATTAN AV,2013,2,32068,1416
Queens,188 STREET,2016,6,21363,795
Manhattan,W/B W 117 ST @ MORNINGSIDE AVE,2009,11,4549,387
Brooklyn,PENNSYLVANIA AV,2014,3,561169,3156
Manhattan,ST NICHOLAS AVENUE,2019,10,288095,2688
Queens,NORTHERN BOULEVARD,2016,7,84875,508
Queens,BELT PARKWAY EXIT 25 A NB,2015,6,259303,510
Queens,76 RD,2013,10,23915,1200
Staten Island,N/B MERRYMOUNT ST @ KLONDIKE AVE,2010,6,9614,378
Brooklyn,OCEAN PKWY,2012,10,730753,5162
Brooklyn,MILL BASIN BR,2013,6,1070776,1887
Queens,LITTLE NECK PARKWAY,2015,9,33840,503
Bronx,BURKE AVENUE,2012,2,47104,1344
Bronx,N/B SEDGWICK AVE @ W 183 ST,2009,6,30936,568
Bronx,3 AVENUE,2016,10,1773046,25536
Queens,BQE EB EXIT 35 E-W,2013,6,1248190,2375
Bronx,BROADWAY @ CARYL AVE (CITY LINE),2010,4,96272,1630
Queens,145 DRIVE,2019,3,3833,576
Queens,E/B 34 AVE @ STEINWAY ST,2009,5,12866,327
Bronx,BRONX RIVER PKWY,2011,4,1442965,3158
Queens,ROCKAWAY BEACH BLVD,2014,11,75373,2688
Queens,Jamaica Ave EB Between,2010,9,90618,898
Manhattan,W/B E 138 ST @ 5 AVE,2009,9,71042,443
Queens,N/B ENT RAMP TO LAURELTON PKWY@CITY LIN,2010,6,451167,1135
Bronx,JEROME AV,2012,10,628656,6509
Brooklyn,LOTT AVENUE,2017,2,14443,1055
Brooklyn,S/B DIAMOND ST @ NASSAU AVE,2010,7,12647,1217
Staten Island,CLOVE ROAD,2015,6,63817,1152
Manhattan,E 51 ST,2014,6,45232,754
Queens,JAMAICA AVENUE,2017,10,161811,1728
Queens,188 STREET,2016,4,213969,2688
Manhattan,WEST STREET,2017,11,749842,2660
Brooklyn,HOYT STREET,2016,6,12126,386
Manhattan,E/B EAST BROADWAY @ PIKE ST,2010,3,47892,1059
Brooklyn,Eastern Pkwy EB Service Rd Between,2010,9,33715,1633
Manhattan,WILLIS AVENUE BRIDGE,2019,11,403392,384
Queens,FOREST AVENUE,2012,2,85554,2090
Brooklyn,7TH AVE APPROACHING CARROLL ST,2010,5,66891,1295
Staten Island,LUTEN AVE SB AT JANSEN ST,2009,12,8748,626
Bronx,EAST 241 STREET,2017,1,93245,1344
Brooklyn,JAY STREET,2020,8,91156,1344
Queens,HOLLIS COURT BOULEVARD,2020,11,75685,1728
Brooklyn,UNION AVENUE,2018,11,130321,2298
Staten Island,CENTRAL AV,2013,1,16064,904
Bronx,E167TH ST EB APPR BET W FARMS RD & BRYANT AVE,2011,5,36084,876
Brooklyn,LINDEN BLVD WB SR APPROACH TO WILLMOHR ST,2011,5,3386,679
Brooklyn,CADMAN PLAZA EAST,2016,11,5148,452
Manhattan,CENTER DRIVE,2016,6,58989,1344
Queens,CORNAGA AV,2014,11,47333,2688
Queens,123 STREET,2014,11,5663,397
Queens,S/B ASCAN AVE@ RUSSELL PL / WINTER ST,2010,6,12406,385
Brooklyn,WASHINGTON AV,2014,6,23496,734
Queens,E/B 47 RD @ VERNON BLVD,2010,8,12060,1072
Manhattan,WEST 65 STREET,2017,12,75816,711
Brooklyn,FULTON STREET,2015,9,221025,4416
Brooklyn,MONTROSE AV,2012,10,56252,945
Manhattan,E/B E 23RD ST @ MADISON AVE,2009,2,106718,681
Brooklyn,4 AVENUE,2015,10,366466,4608
Bronx,BEDFORD PARK BLVD,2014,6,104936,1450
Bronx,BOYNTON AVENUE,2017,11,6073,480
Brooklyn,NEPTUNE AVENUE,2019,5,156787,2213
Bronx,S/B ROSELLE ST @ SILVER ST,2009,4,2332,324
Queens,MANTON STREET,2016,3,23864,1344
Manhattan,MOTT STREET,2017,9,38496,960
Bronx,HENRY HUDSON PARKWAY,2019,4,617990,1152
Bronx,UNNAMED ST,2012,10,271727,3561
Brooklyn,GOWANUS EXPRESSWAY EXIT 26 EB,2016,10,78086,685
Queens,E/B STANDISH PL/SEASONGOOD RD@ASCAN AVE,2010,6,1413,387
Brooklyn,4TH AVE APPROACHING 65TH ST,2010,6,338577,2314
Queens,ROCKAWAY BEACH BLVD,2014,5,182584,4049
Queens,OAK AV,2014,6,97967,3361
Manhattan,HUDSON STREET,2017,6,190838,2016
Queens,N/B VERMONT PL @ J R PKWY ENT RAMP,2010,2,9558,449
Brooklyn,KENT AVENUE,2015,11,29677,385
Brooklyn,25 ST,2013,10,271528,1771
Queens,64 ST,2013,10,8714,2424
Manhattan,FDR DRIVE NB ENTRANCE E 34 ST,2018,11,9676,185
Bronx,FOOD CENTER DRIVE,2017,10,222892,2737
Brooklyn,BQE WB EXIT 29,2012,10,5257,640
Manhattan,SOUTH STREET,2015,10,135284,1728
Manhattan,WASHINGTON BRG,2014,10,808534,2875
Queens,ROCKAWAY BLVD WB APPROACH TO ATLANTIC AVE,2011,2,166871,2276
Brooklyn,ARGYLE ROAD,2017,12,7577,672
Manhattan,WALKER STREET,2018,11,29204,384
Queens,JAMAICA AVENUE,2016,5,68286,811
Bronx,MAJOR DEEGAN EXWY,2014,6,1271122,2600
Bronx,BROADWAY,2019,3,503823,7008
Bronx,E/B W TREMONT AVE @ PHELAN PLACE,2009,12,30610,1048
Brooklyn,LINDEN BLVD WB RIGHT SLIP RAMP TO KINGS HWY/REMSEN,2011,5,45145,681
Bronx,PELHAM PARKWAY SOUTH,2012,2,51517,382
Brooklyn,W/B BENSON AVE @ BAY 35 ST,2010,5,14531,388
Bronx,BROADWAY,2017,6,52933,763
Bronx,EAST 138 STREET,2015,3,111962,1172
Brooklyn,86 STREET,2018,11,193677,1920
Brooklyn,COURT STREET,2018,11,87126,1055
Brooklyn,WASHINGTON AVENUE,2016,4,31040,672
Brooklyn,VANDERBILT AVENUE,2015,9,108077,1728
Bronx,W/B EAST GUN HILL RD @ TRYON AVE,2009,5,68969,775
Queens,32 AVENUE,2018,5,20305,628
Queens,90 ST,2014,3,16947,712
Bronx,W/B W GUN  HILL RD @ JEROME AV,2009,5,44986,667
Manhattan,W 55 ST,2013,3,73686,1016
Manhattan,STATE STREET,2017,9,14927,192
Manhattan,E/B E 34 ST @ 1ST AVE,2010,11,80425,729
Brooklyn,HOWARD AV,2014,11,62792,1344
Queens,ELIOT AVENUE,2012,1,35604,599
Brooklyn,LENOX ROAD,2018,5,4197,192
Queens,BEACH CHANNEL DRIVE,2015,5,5162,69
Brooklyn,FT HAMILTON PKWY APPROACH TO 78TH ST,2009,12,45823,604
Manhattan,CPW 72 APPROACH,2015,8,14607,2746
Manhattan,WEST 51 STREET,2013,5,66207,914
Brooklyn,UTICA AV,2012,9,95410,1152
Bronx,EAST BAY AVENUE,2018,6,22927,480
Manhattan,RIVERSIDE DRIVE,2017,10,121948,3456
Bronx,E/B W 197 ST @ GOULDEN AVE,2010,10,12854,336
Bronx,E 180TH ST WB APPROACH TO CROTONA AVE,2009,11,33195,766
Brooklyn,MYRTLE AV,2012,10,122164,1916
Manhattan,2 AVENUE,2015,3,3720993,8064
Brooklyn,18 AVENUE,2018,3,42480,960
Bronx,ERICSON PL,2014,3,31954,672
Queens,112 STREET,2018,4,4487,382
Manhattan,RIVERSIDE DR MAIN RD APPROACH TO W 95TH ST,2011,3,31151,1164
Manhattan,10 AV,2012,9,126251,388
Bronx,E/B E 138 ST @ BROOK AVE,2011,3,72096,874
Queens,MIDTOWN HWY BR,2012,6,954302,3968
Bronx,WEBSTER AVENUE,2014,9,129824,864
Brooklyn,DEAN STREET,2018,3,37336,1056
Brooklyn,4th Ave SB Between,2009,12,64483,863
Brooklyn,FLATLANDS AVENUE,2017,3,43174,960
Brooklyn,AVE Z BET HOMECREST AVE & E 13TH ST,2011,5,69393,964
Brooklyn,BELT PKWY,2013,11,1109287,1632
Queens,HILLSIDE AVE APPROACHING PARSONS BLVD,2012,1,280206,1514
Brooklyn,W/B 60 ST @ 5 AVE,2009,10,8702,231
Bronx,EASTCHESTER RD @ ALLERTON AVE,2009,12,99645,2686
Queens,MAIN AVENUE,2017,3,61725,2688
Queens,GRAND AVENUE,2017,11,40560,1344
Queens,VAN DAM STREET,2018,3,76051,960
Bronx,SILVER ST @ E TREMONT AVE,2009,11,39495,763
Queens,UNION TURNPIKE,2015,5,308287,3903
Brooklyn,E 91 ST,2012,12,4521,401
Brooklyn,FOSTER AVENUE,2016,11,75472,1834
Queens,75 AVENUE,2015,12,20463,661
Manhattan,GRAND STREET,2019,10,525810,2592
Queens,UNION TURNPIKE,2012,2,66570,741
Brooklyn,GATEWAY DRIVE,2018,1,39532,672
Manhattan,12 AVENUE,2018,11,1484518,3456
Queens,W/B JACKIE ROBINSON PKWY @ MILLER AVE,2010,4,380644,1184
Staten Island,EXT,2011,10,14552,1049
Bronx,RANDALL AVENUE,2019,11,621733,1728
Staten Island,ERIC LA,2013,10,704,1172
Manhattan,COLUMBUS AVE BET W 107TH & W 106TH STS,2011,2,84305,819
Queens,E/B 35 AVE @ 65 ST,2009,12,7474,399
Bronx,E 180TH ST WB APPROACH TO BOSTON RD,2011,2,110486,1482
Staten Island,ST PAULS AVENUE,2016,4,202533,4032
Bronx,S/B HENRY HUDSON PKWY @ CITY LINE,2010,5,366820,1075
Queens,MYRTLE AV,2013,10,89318,1628
Brooklyn,BAY PKWY NB BET 66th ST & 67th ST,2010,1,57683,541
Queens,FLUSHING BRIDGE,2015,4,739178,2794
Brooklyn,CONEY ISL AVE&CORTELYOU R BET E9TH & CONEY ISL AVE,2010,10,24672,696
Queens,55 STREET,2017,6,4583,393
Brooklyn,LOCUST ST,2013,10,7948,582
Queens,N/B 71 ST @ CENTRAL AVE,2009,3,6691,578
Brooklyn,E/B 73 ST @ 14 AVE,2010,8,2881,161
Bronx,ROSEDALE AVENUE,2012,1,24462,384
Bronx,BAINBRIDGE AVENUE,2015,9,73008,1728
Bronx,EAST 174 STREET,2019,1,34457,2112
Brooklyn,78TH ST AT 7TH AVE,2009,12,55338,603
Brooklyn,S/B 8 AVE @ 60 ST,2009,10,8159,231
Manhattan,E/B EAST 14TH ST@ IRVING PL.,2009,5,108901,778
Bronx,W/B CITY ISLAND BRIDGE,2011,3,111502,1328
Brooklyn,86 STREET,2017,10,42476,768
Manhattan,ED KOCH QUEENSBORO BRG,2014,2,103953,672
Manhattan,WEST 134 STREET,2016,11,14127,1344
Bronx,PARK AVENUE,2015,6,315602,6048
Queens,E/B ROOSEVELT AVE BRIDGE @ JANET PL,2010,4,92922,1123
Brooklyn,EAST 98 STREET,2017,2,60040,2107
Manhattan,WEST END AVENUE,2015,10,328684,2909
Queens,120 ST,2013,5,5546,380
Manhattan,2 AV,2013,8,1173124,3250
Staten Island,HYLAN BOULEVARD,2018,4,62315,1541
Manhattan,WEST 181 STREET,2019,6,47743,2016
Manhattan,COLUMBUS AVENUE,2019,11,372591,2044
Queens,CEDAR LAWN AVENUE,2015,11,2707,192
Staten Island,E/B RICE AVE @ SLOSSON AVE,2009,7,2054,667
Queens,Atlantic Ave EB Between,2011,5,338124,2141
Queens,DUNKIRK ST BTWN LIBERTY AVE & ARCADE AVE,2011,4,13193,263
Queens,HUNTERS PT BR,2014,3,4542,106
Brooklyn,MYRTLE AVE BET GATES & WYCKOFF AVES,2011,3,70092,1532
Staten Island,HINTON ST,2013,10,3848,2495
Queens,36 AV,2012,11,85093,2962
Brooklyn,ATLANTIC AV,2012,10,1092746,4432
Queens,N/B 90 ST @ 56 AVE,2010,8,28280,379
Brooklyn,FRANKLIN AV,2012,1,39857,472
Bronx,EAST TREMONT AVENUE,2015,10,191804,1728
Bronx,WEBSTER AVENUE,2020,10,441627,5184
Queens,W/B 111 AVE @ 118 ST,2009,11,17877,857
Bronx,S/B LACONIA AV/ESPLANADE@PELHAM PKWY N,2010,9,21036,619
Manhattan,WEST 30 STREET,2017,10,26364,384
Manhattan,NAGLE AV,2013,1,67326,867
Brooklyn,MORGAN AVENUE,2017,2,24137,748
Bronx,RIVERDALE AVENUE,2012,2,40623,764
Brooklyn,AVENUE N,2015,11,7857,61
Manhattan,WASHINGTON BRIDGE,2014,10,808534,2875
Manhattan,S/B WATER ST @ JOHN ST,2010,11,52841,805
Brooklyn,N/B MANHATTAN AVE @ NASSAU AVE,2010,7,36034,1213
Queens,GUY R BREWER BLVD,2012,5,18194,576
Brooklyn,COLUMBIA STREET,2017,3,91390,1728
Queens,138 ST,2014,6,30795,671
Queens,THOMSON AV,2013,6,144212,672
Bronx,MOSHOLU PARKWAY,2012,2,132654,1127
Bronx,EAST 167 STREET,2012,1,36463,484
Bronx,S/B PAULDING AVE @ RHINELANDER AVE,2010,4,5308,377
Brooklyn,ELTON STREET,2017,4,11795,762
Brooklyn,E/B LINDEN BLVD MAIN RD @ 78 ST,2008,3,249380,1399
Bronx,BRONXWOOD AV,2013,9,29460,864
Brooklyn,DEAN ST,2013,10,40348,902
Queens,CROSS IS PKWY,2014,11,235845,384
Brooklyn,PARK CIRCLE,2017,6,36836,384
Staten Island,S/B ROSE AVE @ 10 ST,2010,7,22647,770
Bronx,MORRIS PARK AVENUE,2017,2,745990,10752
Brooklyn,AVENUE L,2016,7,39382,752
